Frame,FLS0
1,0.01953786925873658
2,0.018993468271024584
3,0.05585664256481461
4,0.09119226173448836
5,0.12510113593274452
6,0.15763843062514166
7,0.18881087056846388
8,0.21857668595033775
9,0.24684809893304976
10,0.2734961859852018
11,0.2983579307326956
12,0.32124521966129255
13,0.3419554462502395
14,0.3602832937598351
15,0.37603317715169404
16,0.3890317521923678
17,0.39913985354830084
18,0.4062632113792529
19,0.41036132210572895
20,0.411453915883221
21,0.40962457058058693
22,0.4050211653831973
23,0.397853039941051
24,0.3883849172968838
25,0.3769278491751817
26,0.36382763825209
27,0.34945137181841746
28,0.334172853430591
29,0.31835783324026556
30,0.30235000175085136
31,0.2864587113401082
32,0.27094930603156525
33,0.2560367528085461
34,0.24188296479426513
35,0.22859779681173434
36,0.21624322377976088
37,0.20483976840832374
38,0.19437393997640776
39,0.18480538508756694
40,0.17607269344103216
41,0.16809734062014056
42,0.16078602602943023
43,0.1542717896518978
44,0.15006831489897285
45,0.147544300023537
46,0.14545669265386338
47,0.14294976328813835
48,0.13950632675844993
49,0.13490982758463219
50,0.12924343027875212
51,0.12293859519872066
52,0.1168724862885378
53,0.1124711573499627
54,0.11166870304078655
55,0.11648602080789786
56,0.12278023753609246
57,0.12485162874708419
58,0.12534974067623328
59,0.1245563836878042
60,0.12279011836440833
61,0.12040533391829226
62,0.11779244012869695
63,0.11537458525038945
64,0.1135952890534042
65,0.11289169485278855
66,0.11365245274597652
67,0.11616848658655893
68,0.12059417634532363
69,0.1269362319082112
70,0.13507435750089558
71,0.1448018542110909
72,0.15586849595278224
73,0.16801358384691542
74,0.1809859094251366
75,0.19455298733823398
76,0.2085034968784575
77,0.22264624418377016
78,0.23680778573414385
79,0.2508298855891724
80,0.2645673628828344
81,0.2778865490805785
82,0.29066441177246016
83,0.30278833453184095
84,0.3141565230213575
85,0.32467900918671
86,0.3342792346392179
87,0.3428962037639576
88,0.3504872027038429
89,0.3570310783903431
90,0.362532058150827
91,0.36702405962350687
92,0.37057538489517355
93,0.3732936018079979
94,0.3753302783082161
95,0.37688504446737625
96,0.37820821467457005
97,0.37960093902275194
98,0.381411643368712
99,0.3840274980639648
100,0.3878600100678804
101,0.39332472389473216
102,0.4008164415901413
103,0.4106830105866631
104,0.42320192580218485
105,0.43856402169625647
106,0.43853794117417566
107,0.4237620668674715
108,0.4040859466200239
109,0.36793355893645957
110,0.30535181207060375
111,0.20948892949398823
112,0.0776020295686424
